attendance_id,emp_id,attendance_date,status
1,372,21-01-2024,Present
2,225,27-01-2024,Absent
3,387,04-01-2024,Absent
4,216,06-01-2024,WFH
5,417,07-01-2024,Present
6,157,15-02-2024,Absent
7,417,23-02-2024,WFH
8,10,03-01-2024,Absent
9,123,14-02-2024,Present
10,36,28-01-2024,WFH
11,449,15-02-2024,Absent
12,390,01-01-2024,WFH
13,321,09-02-2024,Absent
14,377,16-01-2024,Absent
15,100,25-02-2024,WFH
16,365,21-02-2024,Present
17,458,23-02-2024,WFH
18,420,02-02-2024,Absent
19,196,07-01-2024,WFH
20,299,18-01-2024,Absent
21,352,14-02-2024,WFH
22,107,25-01-2024,Present
23,239,30-01-2024,WFH
24,498,16-02-2024,Present
25,310,21-02-2024,WFH
26,297,19-02-2024,Present
27,170,19-02-2024,WFH
28,52,01-01-2024,WFH
29,172,24-02-2024,WFH
30,44,10-02-2024,Absent
31,179,01-01-2024,WFH
32,381,16-02-2024,WFH
33,131,02-02-2024,WFH
34,248,20-01-2024,Absent
35,344,08-01-2024,Absent
36,363,25-02-2024,Present
37,415,07-02-2024,Absent
38,193,24-01-2024,Present
39,321,23-02-2024,WFH
40,25,25-01-2024,Absent
41,195,24-02-2024,Present
42,477,20-01-2024,WFH
43,260,25-02-2024,Present
44,249,26-02-2024,WFH
45,66,14-01-2024,WFH
46,445,05-02-2024,WFH
47,6,12-01-2024,WFH
48,70,09-01-2024,WFH
49,38,06-01-2024,Present
50,118,16-02-2024,Present
51,106,25-01-2024,Present
52,457,12-01-2024,Absent
53,342,01-01-2024,Absent
54,85,19-01-2024,Absent
55,277,03-01-2024,Absent
56,81,13-02-2024,WFH
57,476,22-01-2024,Present
58,6,15-02-2024,Present
59,468,01-01-2024,Present
60,303,19-01-2024,Present
61,103,30-01-2024,Present
62,328,06-02-2024,Absent
63,139,28-02-2024,Present
64,87,03-02-2024,WFH
65,34,09-02-2024,Absent
66,47,23-01-2024,Absent
67,468,20-02-2024,Absent
68,400,24-02-2024,Present
69,227,14-02-2024,Present
70,371,01-03-2024,Present
71,14,03-01-2024,WFH
