emp_id,rating_2022,rating_2023,rating_2024
1,2,5,1
2,3,4,4
3,3,5,3
4,5,4,5
5,2,3,1
6,4,2,3
7,5,1,3
8,2,5,2
8,2,5,2
9,5,4,3
10,1,4,3
11,1,3,2
12,3,4,2
13,1,3,3
14,5,4,4
15,1,1,4
16,5,2,3
17,4,1,4
18,2,3,5
19,2,3,4
20,3,3,1
21,4,4,4
22,1,3,3
23,4,3,4
24,3,2,2
25,5,5,4
26,2,3,1
27,1,1,4
28,2,5,5
29,4,4,3
30,3,5,5
31,1,4,5
32,5,4,3
33,3,4,2
34,1,5,5
35,2,2,4
36,3,1,2
37,1,4,2
38,4,1,4
39,2,4,5
40,5,4,2
41,4,5,5
42,5,,4
43,1,5,5
44,1,4,2
45,3,2,1
46,2,5,4
47,2,5,2
48,5,3,3
49,1,5,3
50,1,4,3
51,4,2,3
52,5,2,4
53,3,1,5
54,3,5,5
55,3,1,3
56,4,3,5
57,3,,3
58,1,5,2
59,1,3,1
60,4,2,1
61,1,2,1
62,3,1,4
63,1,1,2
64,5,1,1
65,1,3,4
66,5,1,1
67,3,3,1
68,2,2,5
69,1,5,5
70,5,2,2
71,2,2,1
72,2,2,5
73,3,5,2
74,2,2,3
75,5,1,3
76,3,2,3
77,1,3,4
78,4,1,5
79,1,1,5
80,4,,2
81,1,4,5
82,3,3,2
83,4,4,5
84,5,2,2
85,3,1,5
86,3,2,5
87,3,,1
88,2,3,1
89,4,2,1
90,2,5,4
91,2,4,2
92,3,2,2
93,1,3,5
94,1,1,3
95,3,3,4
96,1,1,1
97,1,5,2
98,4,,1
99,4,1,2
100,4,3,2
101,4,2,1
102,2,2,2
103,5,4,4
104,1,4,3
105,2,5,1
106,2,4,4
107,3,4,1
108,4,1,4
109,2,3,3
110,3,3,4
111,2,4,3
112,1,2,1
113,4,3,1
114,3,4,4
115,5,5,5
116,2,5,3
117,2,3,2
118,2,,5
119,4,5,2
120,3,5,5
121,4,5,3
122,2,1,2
123,4,4,1
124,1,2,3
125,1,,4
126,3,4,4
127,5,4,3
128,2,3,1
129,1,2,3
130,4,1,3
131,3,3,1
132,1,2,1
133,4,,4
134,2,5,5
135,1,1,5
136,3,5,1
137,5,1,3
138,1,3,4
139,1,5,4
140,5,2,5
141,5,3,1
142,2,1,3
143,2,4,5
144,1,2,1
145,2,1,3
146,1,1,1
147,5,5,2
148,5,2,5
149,1,2,4
150,2,2,4
151,3,,2
152,4,3,4
153,3,2,4
154,3,4,3
155,3,2,4
156,2,1,3
157,4,4,2
158,2,2,1
159,3,1,2
160,3,4,3
161,1,3,5
162,4,,1
163,4,3,2
164,1,5,1
165,3,3,1
166,5,5,5
167,4,4,2
168,4,4,3
169,5,1,2
170,5,5,3
171,4,3,4
172,2,5,2
173,3,4,3
174,1,4,2
175,4,1,5
176,5,4,3
177,5,5,3
178,2,,2
179,3,3,5
180,5,3,4
181,2,2,5
182,3,2,4
183,3,4,2
184,5,4,4
185,1,,4
186,1,3,2
187,2,1,5
188,5,3,3
189,2,2,5
190,1,,2
191,1,5,3
192,3,1,1
193,2,2,3
194,2,2,1
195,3,4,3
196,5,5,4
197,2,3,5
198,4,3,4
199,4,5,2
200,5,4,2
201,3,5,5
202,2,4,2
203,3,,4
204,1,1,1
205,5,4,5
206,3,1,5
207,3,,4
208,1,1,4
209,3,,4
210,1,3,4
211,3,5,4
212,1,1,4
213,5,3,3
214,3,1,1
215,4,1,1
216,3,4,2
217,2,3,4
218,3,3,4
219,3,2,2
220,5,4,2
221,4,,4
222,2,2,4
223,3,1,4
224,5,1,3
225,3,3,4
226,2,2,1
227,4,1,2
228,4,5,2
229,3,5,4
230,1,5,5
231,1,2,4
232,1,4,1
233,4,2,1
234,4,1,4
235,2,5,3
236,5,1,2
237,4,5,4
238,3,3,2
239,5,3,4
240,4,1,3
241,1,2,3
242,5,1,2
243,5,5,5
244,1,2,3
245,1,2,2
246,1,3,2
247,1,1,5
248,5,2,4
249,5,1,5
250,2,1,5
251,2,3,5
252,2,5,3
253,4,5,3
254,2,2,4
255,5,1,1
256,1,1,5
257,3,4,4
258,2,2,2
259,3,5,4
260,4,4,4
261,5,3,5
262,1,2,3
263,5,2,4
264,4,5,2
265,1,1,2
266,1,3,3
267,3,5,1
268,3,3,2
269,2,2,3
270,5,4,4
271,4,3,1
272,4,5,3
273,1,4,1
274,3,3,2
275,2,1,3
276,4,2,1
277,2,4,4
278,2,1,3
279,3,2,5
280,2,2,2
281,2,3,3
282,4,5,4
283,5,5,5
284,2,1,2
285,2,1,5
286,1,3,4
287,2,2,4
288,5,3,2
289,2,1,2
290,2,5,2
291,4,1,4
292,4,3,1
293,1,3,3
294,2,5,3
295,4,,1
296,4,2,4
297,4,2,4
298,3,4,1
299,2,4,1
300,4,4,3
301,3,2,2
302,2,5,5
303,2,2,3
304,2,3,1
305,1,1,3
306,3,1,3
307,2,1,5
308,5,,2
309,1,,3
310,3,2,5
311,5,,2
312,4,4,3
313,5,5,2
314,1,3,5
315,2,3,1
316,2,2,4
317,5,1,2
318,3,5,3
319,5,4,3
320,1,1,3
321,1,2,5
322,5,3,1
323,4,3,4
324,2,3,1
325,1,1,2
326,3,2,3
327,1,1,4
328,2,3,5
329,4,2,5
330,2,2,2
331,3,3,1
332,1,,1
333,4,1,5
334,3,4,4
335,1,4,1
336,1,1,3
337,3,2,1
338,5,2,5
339,5,5,1
340,4,2,2
341,4,5,1
342,1,1,3
343,2,,4
344,1,2,3
345,1,1,3
346,3,5,1
347,1,1,3
348,4,4,3
349,5,4,5
350,3,1,1
351,1,4,1
352,5,4,2
353,4,4,4
354,5,4,2
355,2,3,4
356,1,1,5
357,4,2,5
358,5,3,2
359,4,2,4
360,4,3,3
361,1,5,1
362,5,5,4
363,5,2,1
364,4,2,3
365,1,4,1
366,4,5,5
367,1,3,5
368,5,1,2
369,5,3,2
370,3,3,3
371,3,5,4
372,4,1,4
373,4,5,2
374,1,3,5
375,2,1,2
376,5,2,1
377,4,5,5
378,2,5,4
379,5,4,2
380,4,1,3
381,5,1,4
382,1,5,4
383,1,3,3
384,2,4,3
385,2,,1
386,5,4,1
387,1,3,4
388,1,4,3
389,1,,5
390,5,2,4
391,3,3,3
392,2,3,5
393,3,5,4
394,2,3,3
395,1,4,2
396,5,5,1
397,3,5,5
398,2,4,1
399,3,2,3
400,2,4,2
401,5,2,3
402,4,5,4
403,4,4,4
404,1,4,5
405,4,1,4
406,3,4,1
407,2,2,1
408,3,1,5
409,2,1,2
410,4,4,5
411,2,3,5
412,3,5,2
413,2,5,4
414,1,1,2
415,3,2,1
416,1,5,4
417,5,3,5
418,3,3,4
419,1,4,4
420,5,2,4
421,3,2,2
