salary_id,emp_id,salary,salary_date
1,463,-116625,09-11-2023
2,444,34993,06-08-2023
3,142,-100691,15-06-2023
4,276,101787,08-02-2023
5,181,49154,01-02-2023
6,62,73219,10-10-2023
7,399,56981,28-02-2023
8,378,43384,02-11-2023
9,123,70257,10-02-2023
10,497,71125,22-11-2023
10,497,71125,22-11-2023
11,365,52461,04-12-2023
12,230,93757,09-03-2023
13,164,53324,02-07-2023
14,220,64448,11-11-2023
15,168,77415,15-07-1905
16,368,51960,2023-25-08
17,35,11112384,18-02-2023
18,35,118151,21-01-2023
19,496,115685,08-07-2023
20,419,88872,06-05-2023
21,406,109643,16-06-2023
22,150,44878,05-06-2023
23,100,-62840,15-03-2023
24,268,40481,29-05-2023
25,470,65572,28-10-2023
26,422,63109,02-02-2023
27,53,114919,05-08-2023
28,435,49213,20-06-2023
29,73,103845,04-09-2023
30,484,75543,22-07-2023
31,305,35766,10-09-2023
32,48,86207,29-07-2023
33,400,103487,12-07-2023
34,149,51856,08-05-2023
35,339,47812,22-10-2023
36,405,103143,12-08-2023
37,262,11110578,28-11-2023
38,431,63393,22-05-2023
39,439,44359,06-01-2023
40,250,64055,26-04-2023
41,73,101530,10-06-2023
42,323,87552,30-10-2023
43,30,-111588,02-03-2023
44,389,100305,07-09-2023
45,206,95549,19-09-2023
46,28,84253,30-12-2023
47,232,41137,29-01-2023
48,112,82376,11-07-2023
49,472,93167,29-04-2023
50,34,118955,07-07-2023
51,33,34944,07-11-2023
52,105,115169,19-09-2023
53,37,36828,02-02-2023
54,452,67763,22-03-2023
55,368,73369,25-09-2023
56,54,-92262,15-11-2023
57,439,44584,05-05-2023
58,363,95809,23-01-2023
59,434,50964,21-01-2023
60,310,-67191,06-07-2023
61,464,84662,13-03-2023
62,202,30357,24-03-2023
63,320,66127,23-07-2023
63,320,66127,23-07-2023
64,317,99301,13-08-2023
65,412,50482,30-11-2023
66,450,70035,09-05-2023
67,447,104144,06-07-2023
68,17,33748,21-03-2023
69,308,35624,23-05-2023
70,67,114144,21-03-2023
71,440,103598,20-11-2023
72,277,74487,12-03-2023
73,247,91968,05-09-2023
74,69,58220,26-12-2023
75,183,-55653,01-04-2023
76,105,67282,09-06-2023
77,472,117444,13-07-2023
78,417,55977,02-06-2023
79,409,33944,13-06-2023
80,11,45496,01-01-2023
81,168,-68585,30-01-2023
82,261,104881,13-04-2023
83,12,60707,17-12-2023
84,388,86355,03-07-2023
85,126,-46481,19-12-2023
86,250,68004,20-01-2023
87,214,48170,27-11-2023
88,342,91687,08-06-2023
89,491,79923,13-12-2023
90,412,41747,10-09-2023
91,107,36502,26-12-2023
92,171,51126,22-02-2023
93,149,77045,21-03-2023
94,38,36227,09-12-2023
95,144,38389,02-01-2023
96,494,90495,27-04-2023
97,99,44017,27-06-2023
98,496,109400,13-01-2023
99,463,64706,25-02-2023
100,206,-102649,09-03-2023
101,355,48258,15-10-2023
102,58,42341,22-04-2023
103,419,90810,09-12-2023
104,233,61066,24-10-2023
105,306,70695,13-07-2023
106,413,79982,24-07-2023
107,321,108495,02-05-2023
108,445,45198,24-04-2023
109,126,116277,14-07-2023
110,319,71031,15-03-2023
111,282,100595,29-11-2023
112,76,-71692,28-09-2023
113,249,105871,09-10-2023
114,43,104267,15-06-2023
115,243,55335,26-04-2023
116,433,-73831,27-06-2023
117,450,90002,01-05-2023
118,124,33111,30-09-2023
119,400,60545,13-04-2023
120,277,102793,22-08-2023
121,43,-76512,24-02-2023
122,486,81989,22-04-2023
123,324,-81384,29-07-2023
124,244,80942,02-10-2023
125,432,118391,19-02-2023
126,339,30480,05-01-2023
127,138,117260,02-09-2023
128,413,112680,13-11-2023
129,88,98377,13-07-2023
130,37,54210,12-01-2023
131,234,45818,03-07-2023
132,475,98764,27-10-2023
133,142,53288,12-10-2023
134,154,85880,21-09-2023
135,18,87292,27-11-2023
136,345,36605,10-06-2023
137,200,35686,04-07-2023
138,390,118533,19-02-2023
139,288,42879,04-02-2023
140,137,105822,30-04-2023
141,2,84999,26-03-2023
142,5,79822,22-11-2023
143,56,110209,30-10-2023
144,67,31017,21-03-2023
145,470,70813,25-09-2023
146,372,55029,12-07-2023
147,226,-42771,02-07-2023
148,407,49299,05-06-2023
149,288,74433,09-11-2023
150,281,113840,12-12-2023
151,85,67291,06-06-2023
152,39,100998,20-04-2023
153,70,71011,28-10-2023
154,166,57238,23-01-2023
155,126,41029,24-07-2023
156,139,106616,14-04-2023
157,32,65058,22-07-2023
158,47,40246,02-05-2023
159,195,75243,14-12-2023
160,165,37183,19-06-2023
